@relation tinkaTest
@attribute text string
@attribute class {neutral,worry,angry,happy}

@Data
'Was ist los mit meine regnung nicht offen {FullName_1} 6 monat meine rengung', worry
'{FullName_1} ähnlich geht das App', neutral
'mein account ist schon geschlossen', angry
'wie kann ich das einstellen', neutral
'Webmail (tmo) geht leider nicht! Kann nicht mal einloggen :-(', angry
'Hallo ich reise für 25 {FullName_1} in die Türkei und wollte fragen ob es einen Datentarif gibt der länger als nur 24h gültig ist. z.b einmalik 5GB für 30Tage oder etwas ähnliches', neutral
'Kuendigungsfrist ab {ZipCode_1}', neutral
'Kündigungsfrist ab 16', neutral
'Hallo habe unabsichtlich meinen wlan schlüssel geändert und wise nicht in was', worry
'..', neutral
'ich benötige eine Nano {FullName_} kann ich die On-line bestellen?', neutral
'travel und surf', neutral
'Verlängert ein Tarifwechsel automatisch die Vertragsdauer?', neutral
'Verlängert ein Tarifwechsel gleichzeitig meine Vertragsdauer?', neutral
'Gutscheincode eingeben vertragsverlängerung tmobile member bonus', neutral
'hlüsselt sehen', neutral
'hnung ist bedeutend höher als sonst. Warum?', worry
'Kann ich meine Rechnung aufgeschlüsselt sehen?', neutral
'meine Rechnung', neutral
'travel and surf', neutral
'Handy entsperren', neutral
'anleitung homenet box', neutral
'hi', neutral
'ich habe meinen vertrag gekündigt und möchte ihn nun doch eventuell verlängern', neutral
'danke!', happy
'{FullName_1} {FullName_1} speak english ?', neutral
'was ist das wie ich will prinzip?', neutral
'warum kann ich meine verträge nicht verlängern?', worry
'Hi ich habe eine Frage zu einer Buchungsposition auf meiner Rechnung an {FullName_1} soll ich mich da wenden?', neutral
'wlan verstärken', neutral
'Mein Vertrag ist zum {Date_3} ausgelaufen. Ich wohne {FullName_1} letztem {FullName_1} nicht mehr in Österreich und hatte letztes Jahr schon versucht den Vertrag zu kündigen. Nun dachte ich mit Vertragsende würde das autistisch passieren. Ich hab jetzt allerdings eine Rechnung bekommen. Was muss ich jetzt noch machen um zu kündigen und was muss ich noch bezahlen', neutral
'Ich benötige meine Rechnungen mit den Rechnungsdaten aus {Date_5} {Date_4} und {Date_5}. Können Sie mir diese bitte zusenden?', neutral
'Sehr geehrte {Surname_1} und Herren!', neutral
'formular', neutral
'Guthaben', neutral
'MY KLAX FLEX rufnummer {FullName_1} A1 mitnehmen?', neutral
'MY KLAX FLEX rufnummer von An mitnehmen?', neutral
'Hallo {FullName_1}  ich möchte morgen mein Handy in {Country_1} nutzen  kann ich das jetzt schon einstellen  damit ich morgen {Street_1} mein Navi verwenden kann ???', neutral
'Wie kann ich einen Vertrag kündigen', neutral
'Freizeichenton aktivieren', neutral
'Datenvolumen in {Country_1}', neutral
'Mobiles Internet in {Country_1}', neutral
'warum kann ich erst ab {Date_3} 2017 meinen vertrag verlängern', neutral
'Ich will kündigen', angry
'Hallo mein Display von meinem iPhone 6s ist kaputt gegangen und ich wollte fragen ob man das zu Reperatur schicken könnte und wie viel man bezahlen muss?', worry
'wer dich gemacht hat', neutral
'Ich möchte meinen Vertrag Kündigen .', neutral
'kundigen', neutral
'juhu', happy
'wo finde ich meinen Benutzernamen?', neutral
'playstation', neutral
'brauche ein paket für {Country_1}', neutral
'wie hoch ist die bandbreite bei meinen internet tarifen?', neutral
'Rufumleitung deaktivieren', neutral
'bin bis {Date_5} bei a1 gebunden und danach suche ich neuen anbieter', neutral
'handyhilfe', neutral
'Ich liebe dich.', happy
'mein T-Mobile unter??', neutral
'wie kann ich die meine Kontonummer ändern', neutral
'volte', neutral
'box {Dictionary_1}', neutral
'Hallo Kann man Volme Boost 10 GB gleich nach aktivierung nutzen', neutral
'Was ist mein box {Dictionary_1}', neutral
'Kombibonus', neutral
'ich habe einen home net m vertrag limitiert auf 30 gb', neutral
'hallo {FullName_1} gibt es heute noch einen telefon support?', neutral
'hallo {FullName_1} gibt es heute noch einen telefonsupport?', neutral
'Guthaben aufladen', neutral
'Mediencenter', neutral
'hi', neutral
'reset', neutral
'Wann meine ferterag fertig', neutral
'Kuendigungsfrist ab {ZipCode_1}', neutral
'flamingos wertkarte verschenken', neutral
'Flamingostand', neutral
'Ich will mein vertrag ändern bzw meine datenvolumen steigern.', neutral
'Ich bin Vertragsinhaber und habe das Kundenkennwort vergessen - was nun?', worry
'ich hab das kennwort {Password_1} mehr', worry
'ich kann mich nicht einloggen habe das kundenkennwort vergessen und es ist kein geburtsdatum hinterlegt.', worry
'negativ', neutral
'und wie im iphone?', neutral
'Ipad', neutral
'SMS an +447786205XXX', neutral
'juhuu', happy
'brauche {FullName_1} {Password_1} eine meiner Nummern', neutral
'eu roaming regulierung', neutral
'eu roaming tarifanpssung', neutral
'Was kostet mich ein Gespräch nach {Location_1}?', neutral
'Wer ist mein Betreuer?', neutral
'Wie heißt mein Tarif?', neutral
'Happy', happy
'Happy Pharrell Williams freizeichenton', neutral
'email adresse ändern', neutral
'Telefonnummer D1', neutral
'ich möchte SMS verschicken und empfangen in {Country_1}', neutral
'Kombi', neutral
'Finde {FullName_1} nicht', neutral
'Da steht eben dass ich mein datenvolumen nicht erhöhen kann!', angry
'Kann ich mein datenvolumen nicht mehr erhöhen für 1 monat?', worry
'Wieviele Einheiten bzw. Minuten telefonierer ins EU-Ausland sind inkludiert?', neutral
'vertrag kündigen', neutral
'2.vertrag was kostet das', neutral
'simlock', neutral
'Ich weiß das {Dictionary_1} {Password_1} mehr', worry
'ich wollte {Street_1} wissen als was kann man bei t-mobil ausbildung machen kann', neutral
'nein', neutral
'Suche einen Kontakt mit E-mail adresse an den ich mich bei zahlungsschwierigkeiten wenden kann. ich verstrete hier meine Nichte die leider auf eine Verbrecherbande reingefallen ist und sehr viel geld dabei verloren hat...', angry
'bin {FullName_1} 8 jahren bei {Street_1}. mein vertrag läuft in 2 wochen aus. da ich nun schon sehr lange treuer kunde {Customer_1} wollte ich fragen ob mir {Street_1} ein gutes angeboten machen kann da ic hnoch länger bei {Street_1} bleiben möchte aber {FullName_1} anbieter besser verträge anbieten', neutral
'Mein hinterlegtes Passwort zur {Password_1} wird nicht genommen und bei der Änderung des PW {Password_1} mein Geburtsdatum und PLZ nicht genommen!', angry
'Warum wird mein Kundenkennwort (Passwort) {Password_1} angenommen', neutral
'Warum wird mein richtiges Kundenkennwort {Password} nicht anerkannt?', angry
'basic', neutral
'basispaket', neutral
'wie lange hab ich kündigungsfrist', neutral
'Webmail', neutral
'freiminuten netzintern', neutral
'Guten Tag!', neutral
'{FullName_1} wann gibt es den homenet router', neutral
'homenet', neutral
'Wieso kann ich nicht alle meine Freieinheiten in der Eu-Zone nutzen ?', angry
'{FullName_1} celentano', neutral
'Nein', neutral
'bin nicht umgezogen. auf dem bestellschein war die richtige adresse und im e-mail von dpd stand die falsche adresse und auch dass es bereits übernommen wurde!!!!!', angry
'Hallo mein Name ist {FullName_1} habe heute die Home Net Box bekommen und jetzt meine Frage bekommt die automatisch den empfang wie das Handy.', neutral
'Ich habe die {FullName_1} reingetan und den Akku auch reingetan und es danach angesteckt mehr brauche ich nicht tun oder?', neutral
'Habe eine T-Mobile Telefon ohne {FullName_1} bekommen.Ist es möglich eine {FullName_1} zu bekommen so das ich diesen Telefon sowie Wertkarten Handy benützen kann?', neutral
'Ich möchte nicht anrufen sondern schriftlich kündigen!!!!', angry
'Vertrag kündigen', neutral
'Vertrag schriftlich kündigen', neutral
'Wohin soll ich die vertragskündigung schicken', neutral
'Was ist bypass', neutral
'klax guthaben aufladen', neutral
'Wie kann ich das Handy sperren?', neutral
'portierung', neutral
'Ich bin bereits Kunde {Customer_1} ich trotzdem auf die neue und bessere Homenet box umsteigen?', neutral
'Ich bin bereits Kunde kann ich trotzdem auf die neue und bessere Homenetbox umsteigen?', neutral
'wer ist {FullName_1} stuefer?', neutral
'WLAN {Dictionary_1} {Password_1}', neutral
'EU Roaming', neutral
'Warum ist die Netzqualität so {Street_1}?', neutral
'formular vertragskündigung', neutral
'Hallo ich war vergangenen Montag 1 Tag in {Country_1} und konnte weder sms schicken noch telefonieren!? Wieso das?', angry
'wann bekommen sie das google handy', neutral
'{Surname_1}', neutral
'{FullName_1} habel', neutral
'Hallo {FullName_1}. Wie kann ich meine Mobilbox deaktivieren/ausschalten?', neutral
'Tinka...??', neutral
'gerät hat bis letzte Woche funktioniert - jetzt nicht mehr', angry
'iPhone 5c sim-lock gesperrt', neutral
'Iphone bis {Date_4} funktioniert dann gesperrt', worry
'sim-lock aufheben', neutral
'Rufnummer abfrage Wertkarte', neutral
'kann ich blackberry kündigen', neutral
'habe neuen vertrag. brauche ich neue {FullName_1} karte oder geht auch alte?', neutral
'Ich bin schon lange Kunde {Customer_1} T-Mobile. Ich habe aber {FullName_1} kurzem einen neuen Vertrag und ein neues Handy das ich aber noch nicht in Betrie', neutral
'anleitung homenet box', neutral
'Hallo warum ist meine Rechnung wieder so hoch', worry
'ich brauche hilfe', worry
'ich habe keinen rückruf erhalten nach der letzten frage', angry
'Netzabdeckung', neutral
'rechnung vom {Date_5}', neutral
'roaming zone 1', neutral
'hi', neutral
'Wann funktioniert eigentlich euer App auf iOS wieder', angry
'Ich habe mein kundenkennwort für mein login {Password_1} doch ich kann keine sms erhalten weil es eine internetbox ist', neutral
'ich möchte gerne kündigen', neutral
'tarif wechsel bindung', neutral
'{FullName_1} anzeigen', neutral
'den Vertrag von meine {TitleName_2} geändert', neutral
'Homenet box support', neutral
'Klingelton I-Phone 6s scheissmelodie', angry
'was ffür einen {FullName_1} habe ich', neutral
'was für einen {FullName_1} hat man mit t-mobile', neutral
'Mailbox abschalten', neutral
'Handy sperren', neutral
'Können sie orten wo mein Handy ist?', neutral
'Hallo {FullName_1} was kostet derzeit der günstigste Membervertrag monatlich. LG {FullName_1}', neutral
'Ich habe 200 freiminuten in meinem vertrg inkludiert nach bosnien usw.', neutral
'Wertkartentarife', neutral
'rufnummernmitnahme', neutral
'Kann ich {FullName_1} kündigen?', neutral
'Warum ist dieses Monat meine Telefonrechnung so hoch bitte um Gesprächsnachweis.', angry
'Wie kann ich einen neuen Vertrag/Rufnummer bestellen?', neutral
'gsm', neutral
'Wie lange läuft meine teilzahlung noch', neutral
'Wie lange läuft meine teilzalun noch', neutral
'wie funktioniert internet in eu länder', neutral
'wer bist du', neutral
'.', neutral
'partnerhandy', neutral
'Gibt es auch eine eigene Emailadresse für Kunden', neutral
'Volumen geht zu {Surname_1}', neutral
'Was kostet das IPhone 6s ohne Anmeldung', neutral
'Wlan Box', neutral
'LiveChat', neutral
'Was heißt im Business Tarif Festnetz inklusive?', neutral
'Wo ist mein packet', neutral
'Hallo {FullName_1} wohin schicke ich meine Kündigung', neutral
'travel and surf', neutral
'ich brauche kein gerät ohne Tarif sondern einen Tarif ohne gerät', angry
'vertragsübernahme', neutral
